,index,Tokens_originals,Originals,Sources,Originals_count,Sources_count,Sources_density,Originals_density,Sources_use_density
0,readabl,"{'readable': 4, 'readability': 1}","['readability', 'this graph has good readability', 'readable', 'poor / excellent readability', 'readability']","['https://dx.doi.org/10.1109/TVCG.2010.194', 'https://dx.doi.org/10.1109/TVCG.2020.3030404', 'https://dx.doi.org/10.1109/TVCG.2020.3030388', 'https://dx.doi.org/10.1109/TVCG.2016.2642109', 'https://dx.doi.org/10.1109/TVCG.2021.3085327']",5,5,0.14285714285714285,0.07462686567164178,1.0
1,eas,{'ease': 4},"['ease of use', 'ease to follow', 'ease of use', 'ease of use for the task']","['https://dx.doi.org/10.1109/TVCG.2010.194', 'https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2020.3004137']",4,4,0.11428571428571428,0.05970149253731343,1.0
2,use,{'use': 4},"['ease of use', 'ease of use', 'ease of use for the task', 'easy to use for understanding']","['https://dx.doi.org/10.1109/TVCG.2010.194', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2020.3004137', 'https://dx.doi.org/10.1109/TVCG.2021.3114789']",4,4,0.11428571428571428,0.05970149253731343,1.0
3,clutter,{'cluttered': 4},"['visually cluttered', 'clutter', 'the technique introduced a high amount of visual clutter', 'low clutter']","['https://dx.doi.org/10.1109/TVCG.2010.194', 'https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2011.183', 'https://dx.doi.org/10.1109/TVCG.2013.151']",4,4,0.11428571428571428,0.05970149253731343,1.0
4,visual,"{'visually': 1, 'visual': 3, 'visualization': 1}","['visually cluttered', 'the technique introduced a high amount of visual clutter', 'it was easy to interpret the data values in the visualization', 'good visual design', 'the visual design is intuitive']","['https://dx.doi.org/10.1109/TVCG.2010.194', 'https://dx.doi.org/10.1109/TVCG.2011.183', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2018.2835485']",5,5,0.14285714285714285,0.07462686567164178,1.0
5,confid,{'confidence': 3},"['confidence', 'confident', 'I am confident that my answers were correct when using this method']","['https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2013.151', 'https://dx.doi.org/10.1109/TVCG.2013.180']",3,3,0.08571428571428572,0.04477611940298507,1.0
6,effect,{'effective': 2},"['effectiveness', 'effectiveness']","['https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2012.189']",2,2,0.05714285714285714,0.029850746268656716,1.0
7,frustrat,{'frustration': 1},['frustration'],['https://dx.doi.org/10.1109/TVCG.2011.186'],1,1,0.02857142857142857,0.014925373134328358,1.0
8,easi,{'easy': 16},"['easy', 'is it easy or hard to interpret the feature of the visualization?', 'is it easy or hard to understand the factors correlated with the visualization feature?', 'easy to learn to read', 'it was easy to gain a good overview of the data', 'it was easy to understand the information displayed with this method', 'it was easy to interpret the data values in the visualization', 'easy / difficult', 'symbols were easy to read, the text was easy to read', 'it was easy to see the link between two components', 'easy to understand', 'feature easy to perceive', 'easy / hard to interpret', 'easy to understand', 'easy / difficult to identify', 'easy to understand', 'easy to use for understanding', 'easy to learn and understand', 'which of these charts is quicker and easier to read?', 'easy to read']","['https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2012.225', 'https://dx.doi.org/10.1109/TVCG.2012.225', 'https://dx.doi.org/10.1109/TVCG.2013.151', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2014.2346983', 'https://dx.doi.org/10.1109/TVCG.2015.2467035', 'https://dx.doi.org/10.1109/TVCG.2015.2467035', 'https://dx.doi.org/10.1109/TVCG.2015.2467872', 'https://dx.doi.org/10.1109/TVCG.2017.2745941', 'https://dx.doi.org/10.1109/TVCG.2018.2865049', 'https://dx.doi.org/10.1109/TVCG.2020.3030358', 'https://dx.doi.org/10.1109/MCG.2016.100', 'https://dx.doi.org/10.1109/TVCG.2019.2941208', 'https://dx.doi.org/10.1109/TVCG.2021.3114789', 'https://dx.doi.org/10.1109/TVCG.2022.3209475', 'https://dx.doi.org/10.1109/TVCG.2021.3092680', 'https://dx.doi.org/10.1109/TVCG.2022.3163727']",20,20,0.5714285714285714,0.29850746268656714,1.0
9,enjoy,{'enjoy': 1},['enjoyment'],['https://dx.doi.org/10.1109/TVCG.2011.186'],1,1,0.02857142857142857,0.014925373134328358,1.0
10,simpl,{'simple': 1},['simplicity'],['https://dx.doi.org/10.1109/TVCG.2011.186'],1,1,0.02857142857142857,0.014925373134328358,1.0
11,follow,{'follow': 2},"['ease to follow', 'is it easy to read and follow the logic?']","['https://dx.doi.org/10.1109/TVCG.2011.186', 'https://dx.doi.org/10.1109/TVCG.2018.2865232']",2,2,0.05714285714285714,0.029850746268656716,1.0
12,intuit,{'intuitive': 2},"['intuitive', 'the visual design is intuitive']","['https://dx.doi.org/10.1109/TVCG.2011.193', 'https://dx.doi.org/10.1109/TVCG.2018.2835485']",2,2,0.05714285714285714,0.029850746268656716,1.0
13,visibl,{'visible': 2},"['the information was clearly visible', 'feature visible']","['https://dx.doi.org/10.1109/TVCG.2011.183', 'https://dx.doi.org/10.1109/TVCG.2020.3030388']",2,2,0.05714285714285714,0.029850746268656716,1.0
14,clear,"{'clearly': 2, 'clear': 2}","['the information was clearly visible', 'clear arrangement', 'I see clearly (item)', 'clear to understand']","['https://dx.doi.org/10.1109/TVCG.2011.183', 'https://dx.doi.org/10.1109/TVCG.2012.255', 'https://dx.doi.org/10.1109/TVCG.2020.3030437', 'https://dx.doi.org/10.1109/TVCG.2022.3163727']",4,4,0.11428571428571428,0.05970149253731343,1.0
15,arrang,{'arrangement': 1},['clear arrangement'],['https://dx.doi.org/10.1109/TVCG.2012.255'],1,1,0.02857142857142857,0.014925373134328358,1.0
16,hard,{'hard': 2},"['is it easy or hard to interpret the feature of the visualization?', 'is it easy or hard to understand the factors correlated with the visualization feature?', 'easy / hard to interpret']","['https://dx.doi.org/10.1109/TVCG.2012.225', 'https://dx.doi.org/10.1109/TVCG.2012.225', 'https://dx.doi.org/10.1109/TVCG.2018.2865049']",3,3,0.08571428571428572,0.04477611940298507,1.0
17,interpret,{'interpret': 6},"['is it easy or hard to interpret the feature of the visualization?', 'it was easy to interpret the data values in the visualization', 'easy / hard to interpret', 'interpret', 'interpretable', 'interpretable']","['https://dx.doi.org/10.1109/TVCG.2012.225', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2018.2865049', 'https://dx.doi.org/10.1109/TVCG.2020.3030388', 'https://dx.doi.org/10.1109/TVCG.2022.3144975', 'https://dx.doi.org/10.1109/TVCG.2015.2467872']",6,6,0.17142857142857143,0.08955223880597014,1.0
18,understand,"{'understand': 9, 'understanding': 1}","['is it easy or hard to understand the factors correlated with the visualization feature?', 'it was easy to understand the information displayed with this method', 'easy to understand', 'unambiguous (obvious to understand)', 'easy to understand', 'easy to understand', 'easy to use for understanding', 'facilitate data understanding', 'easy to learn and understand', 'clear to understand']","['https://dx.doi.org/10.1109/TVCG.2012.225', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2015.2467872', 'https://dx.doi.org/10.1109/TVCG.2020.3030388', 'https://dx.doi.org/10.1109/TVCG.2020.3030358', 'https://dx.doi.org/10.1109/TVCG.2019.2941208', 'https://dx.doi.org/10.1109/TVCG.2021.3114789', 'https://dx.doi.org/10.1109/TVCG.2022.3209354', 'https://dx.doi.org/10.1109/TVCG.2022.3209475', 'https://dx.doi.org/10.1109/TVCG.2022.3163727']",10,10,0.2857142857142857,0.14925373134328357,1.0
19,look,{'look': 1},['prefered look'],['https://dx.doi.org/10.1109/TVCG.2012.189'],1,1,0.02857142857142857,0.014925373134328358,1.0
20,learn,{'learn': 2},"['easy to learn to read', 'easy to learn and understand']","['https://dx.doi.org/10.1109/TVCG.2013.151', 'https://dx.doi.org/10.1109/TVCG.2022.3209475']",2,2,0.05714285714285714,0.029850746268656716,1.0
21,read,{'read': 6},"['easy to learn to read', 'symbols were easy to read, the text was easy to read', 'able to read', 'is it easy to read and follow the logic?', 'which of these charts is quicker and easier to read?', 'easy to read']","['https://dx.doi.org/10.1109/TVCG.2013.151', 'https://dx.doi.org/10.1109/TVCG.2015.2467035', 'https://dx.doi.org/10.1109/TVCG.2017.2744118', 'https://dx.doi.org/10.1109/TVCG.2018.2865232', 'https://dx.doi.org/10.1109/TVCG.2021.3092680', 'https://dx.doi.org/10.1109/TVCG.2022.3163727']",6,6,0.17142857142857143,0.08955223880597014,1.0
22,overview,{'overview': 3},"['it was easy to gain a good overview of the data', 'I had a good overview of the whole diagram in my mind', 'enable overview']","['https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2015.2467035', 'https://dx.doi.org/10.1109/TVCG.2020.3030388']",3,3,0.08571428571428572,0.04477611940298507,1.0
23,gain,{'gain': 1},['it was easy to gain a good overview of the data'],['https://dx.doi.org/10.1109/TVCG.2013.180'],1,1,0.02857142857142857,0.014925373134328358,1.0
24,data,{'data': 2},"['it was easy to gain a good overview of the data', 'it was easy to interpret the data values in the visualization', 'facilitate data understanding']","['https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2022.3209354']",3,3,0.08571428571428572,0.04477611940298507,1.0
25,display,{'display': 1},['it was easy to understand the information displayed with this method'],['https://dx.doi.org/10.1109/TVCG.2013.180'],1,1,0.02857142857142857,0.014925373134328358,1.0
26,inform,{'information': 2},"['it was easy to understand the information displayed with this method', 'it was fast to find the information requested in the practical tasks']","['https://dx.doi.org/10.1109/TVCG.2013.180', 'https://dx.doi.org/10.1109/TVCG.2019.2941208']",2,2,0.05714285714285714,0.029850746268656716,1.0
27,valu,{'value': 1},['it was easy to interpret the data values in the visualization'],['https://dx.doi.org/10.1109/TVCG.2013.180'],1,1,0.02857142857142857,0.014925373134328358,1.0
28,answer,{'answer': 1},['I am confident that my answers were correct when using this method'],['https://dx.doi.org/10.1109/TVCG.2013.180'],1,1,0.02857142857142857,0.014925373134328358,1.0
29,correct,{'correct': 1},['I am confident that my answers were correct when using this method'],['https://dx.doi.org/10.1109/TVCG.2013.180'],1,1,0.02857142857142857,0.014925373134328358,1.0
30,text,{'text': 1},"['symbols were easy to read, the text was easy to read']",['https://dx.doi.org/10.1109/TVCG.2015.2467035'],1,1,0.02857142857142857,0.014925373134328358,1.0
31,symbol,{'symbol': 1},"['symbols were easy to read, the text was easy to read']",['https://dx.doi.org/10.1109/TVCG.2015.2467035'],1,1,0.02857142857142857,0.014925373134328358,1.0
32,see,{'see': 2},"['it was easy to see the link between two components', 'I see clearly (item)']","['https://dx.doi.org/10.1109/TVCG.2015.2467035', 'https://dx.doi.org/10.1109/TVCG.2020.3030437']",2,2,0.05714285714285714,0.029850746268656716,1.0
33,link,{'link': 1},['it was easy to see the link between two components'],['https://dx.doi.org/10.1109/TVCG.2015.2467035'],1,1,0.02857142857142857,0.014925373134328358,1.0
34,compon,{'component': 1},['it was easy to see the link between two components'],['https://dx.doi.org/10.1109/TVCG.2015.2467035'],1,1,0.02857142857142857,0.014925373134328358,1.0
35,diagram,{'diagram': 1},['I had a good overview of the whole diagram in my mind'],['https://dx.doi.org/10.1109/TVCG.2015.2467035'],1,1,0.02857142857142857,0.014925373134328358,1.0
36,mind,{'mind': 1},['I had a good overview of the whole diagram in my mind'],['https://dx.doi.org/10.1109/TVCG.2015.2467035'],1,1,0.02857142857142857,0.014925373134328358,1.0
37,perceiv,{'perceive': 1},['feature easy to perceive'],['https://dx.doi.org/10.1109/TVCG.2017.2745941'],1,1,0.02857142857142857,0.014925373134328358,1.0
38,featur,{'feature': 2},"['feature easy to perceive', 'feature visible']","['https://dx.doi.org/10.1109/TVCG.2017.2745941', 'https://dx.doi.org/10.1109/TVCG.2020.3030388']",2,2,0.05714285714285714,0.029850746268656716,1.0
39,abl,{'able': 1},['able to read'],['https://dx.doi.org/10.1109/TVCG.2017.2744118'],1,1,0.02857142857142857,0.014925373134328358,1.0
40,good,{'good': 2},"['good visual design', 'this graph has good readability']","['https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2020.3030404']",2,2,0.05714285714285714,0.029850746268656716,1.0
41,design,{'design': 2},"['good visual design', 'the visual design is intuitive']","['https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2018.2835485']",2,2,0.05714285714285714,0.029850746268656716,1.0
42,graph,{'graph': 1},['this graph has good readability'],['https://dx.doi.org/10.1109/TVCG.2020.3030404'],1,1,0.02857142857142857,0.014925373134328358,1.0
43,recogn,{'recognize': 1},['recognizability'],['https://dx.doi.org/10.1109/TVCG.2020.3030388'],1,1,0.02857142857142857,0.014925373134328358,1.0
44,enabl,{'enable': 1},['enable overview'],['https://dx.doi.org/10.1109/TVCG.2020.3030388'],1,1,0.02857142857142857,0.014925373134328358,1.0
45,obvious,{'obvious': 1},['unambiguous (obvious to understand)'],['https://dx.doi.org/10.1109/TVCG.2020.3030388'],1,1,0.02857142857142857,0.014925373134328358,1.0
46,unambigu,{'unambiguous': 1},['unambiguous (obvious to understand)'],['https://dx.doi.org/10.1109/TVCG.2020.3030388'],1,1,0.02857142857142857,0.014925373134328358,1.0
47,glanc,{'glance': 1},['at a glance'],['https://dx.doi.org/10.1109/TVCG.2020.3030388'],1,1,0.02857142857142857,0.014925373134328358,1.0
48,determin,{'determine': 1},['able to determine'],['https://dx.doi.org/10.1109/TVCG.2020.3030388'],1,1,0.02857142857142857,0.014925373134328358,1.0
49,assess,{'assess': 1},['assessable'],['https://dx.doi.org/10.1109/TVCG.2020.3030388'],1,1,0.02857142857142857,0.014925373134328358,1.0
50,difficult,{'difficult': 2},"['easy to understand', 'easy / difficult to identify']","['https://dx.doi.org/10.1109/TVCG.2020.3030358', 'https://dx.doi.org/10.1109/MCG.2016.100']",2,2,0.05714285714285714,0.029850746268656716,1.0
51,identifi,{'identify': 1},['easy / difficult to identify'],['https://dx.doi.org/10.1109/MCG.2016.100'],1,1,0.02857142857142857,0.014925373134328358,1.0
52,poor,{'poor': 1},['poor / excellent readability'],['https://dx.doi.org/10.1109/TVCG.2016.2642109'],1,1,0.02857142857142857,0.014925373134328358,1.0
53,excel,{'excellent': 1},['poor / excellent readability'],['https://dx.doi.org/10.1109/TVCG.2016.2642109'],1,1,0.02857142857142857,0.014925373134328358,1.0
54,fast,{'fast': 1},['it was fast to find the information requested in the practical tasks'],['https://dx.doi.org/10.1109/TVCG.2019.2941208'],1,1,0.02857142857142857,0.014925373134328358,1.0
55,find,{'find': 1},['it was fast to find the information requested in the practical tasks'],['https://dx.doi.org/10.1109/TVCG.2019.2941208'],1,1,0.02857142857142857,0.014925373134328358,1.0
56,request,{'requested': 1},['it was fast to find the information requested in the practical tasks'],['https://dx.doi.org/10.1109/TVCG.2019.2941208'],1,1,0.02857142857142857,0.014925373134328358,1.0
57,sens,{'sense': 1},['I am confused - it makes sense'],['https://dx.doi.org/10.1109/TVCG.2021.3068337'],1,1,0.02857142857142857,0.014925373134328358,1.0
58,confus,{'confused': 1},['I am confused - it makes sense'],['https://dx.doi.org/10.1109/TVCG.2021.3068337'],1,1,0.02857142857142857,0.014925373134328358,1.0
59,facilit,{'facilitate': 1},['facilitate data understanding'],['https://dx.doi.org/10.1109/TVCG.2022.3209354'],1,1,0.02857142857142857,0.014925373134328358,1.0
60,quick,{'quick': 1},['which of these charts is quicker and easier to read?'],['https://dx.doi.org/10.1109/TVCG.2021.3092680'],1,1,0.02857142857142857,0.014925373134328358,1.0
61,chart,{'chart': 1},['which of these charts is quicker and easier to read?'],['https://dx.doi.org/10.1109/TVCG.2021.3092680'],1,1,0.02857142857142857,0.014925373134328358,1.0
62,discern,{'discern': 1},['discernability'],['https://dx.doi.org/10.1109/TVCG.2015.2467872'],1,1,0.02857142857142857,0.014925373134328358,1.0
63,grasp,{'grasp': 1},['graspable'],['https://dx.doi.org/10.1109/TVCG.2017.2744118'],1,1,0.02857142857142857,0.014925373134328358,1.0
