seed,Status,Completed at,Time taken,Age,Gender,Highest education level completed,Language,Fluent languages
58478117896,APPROVED,2024-02-16T14:37:44.001000Z,393.0,46,Man (including Trans Male/Trans Man),Technical/community college,English,English
16265897063,APPROVED,2024-02-16T14:15:37.699000Z,359.0,21,Man (including Trans Male/Trans Man),High school diploma/A-levels,Estonian,"Estonian, English"
66450131568,APPROVED,2024-02-16T15:32:59.614000Z,607.0,21,Man (including Trans Male/Trans Man),High school diploma/A-levels,Polish,"Polish, English"
78078303723,APPROVED,2024-02-17T05:42:22.013000Z,1378.0,23,Man (including Trans Male/Trans Man),High school diploma/A-levels,Spanish,"English, Spanish"
83376555315,APPROVED,2024-02-16T13:45:04.578000Z,476.0,23,Man (including Trans Male/Trans Man),Technical/community college,Portuguese,"Portuguese, English"
99818718385,APPROVED,2024-02-16T15:29:19.855000Z,314.0,24,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portuguese,"Portuguese, English"
88641028176,APPROVED,2024-02-17T06:03:08.958000Z,1209.0,46,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
25585445322,APPROVED,2024-02-16T14:57:59.156000Z,363.0,40,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portuguese,"English, Portuguese"
152332680844,APPROVED,2024-02-16T15:55:40.226000Z,585.0,38,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Turkish,"Turkish, English"
167391477273,APPROVED,2024-02-16T18:01:55.996000Z,821.0,37,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
36672960057,APPROVED,2024-02-16T15:34:31.600000Z,675.0,23,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Greek,"English, Greek"
156629436526,APPROVED,2024-02-16T18:28:07.620000Z,490.0,23,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Polish,"English, Polish"
153374952986,APPROVED,2024-02-16T14:07:01.335000Z,1040.0,26,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Hungarian,"English, Hungarian, French"
198551704955,APPROVED,2024-02-16T13:44:23.929000Z,463.0,21,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Greek,"Greek, English"
123437125437,APPROVED,2024-02-16T16:55:12.929000Z,704.0,21,Man (including Trans Male/Trans Man),High school diploma/A-levels,Polish,"English, Polish"
52999599296,APPROVED,2024-02-16T19:13:11.508000Z,630.0,24,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Italian,"English, French, Italian, Romanian, Spanish"
90842388199,APPROVED,2024-02-16T14:00:18.175000Z,2559.0,32,Woman (including Trans Female/Trans Woman),Technical/community college,English,English
165910605120,APPROVED,2024-02-16T14:25:34.655000Z,2081.0,23,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,English
83880718299,APPROVED,2024-02-16T16:05:03.253000Z,2578.0,36,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),English,English
82521488450,APPROVED,2024-02-16T18:14:33.159000Z,1126.0,36,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Spanish,"Spanish, English"
1793122762,APPROVED,2024-02-16T13:37:42.846000Z,1074.0,22,Man (including Trans Male/Trans Man),High school diploma/A-levels,Slovenian,"English, Slovenian"
88728779476,APPROVED,2024-02-16T18:16:45.438000Z,1797.0,27,Man (including Trans Male/Trans Man),High school diploma/A-levels,Other,English
83506571242,APPROVED,2024-02-16T13:46:01.210000Z,559.0,22,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Polish,"English, Polish, French"
11563465956,APPROVED,2024-02-16T15:55:46.191000Z,587.0,37,Man (including Trans Male/Trans Man),Technical/community college,English,English
133317927855,AWAITING REVIEW,2024-02-17T07:04:27.429000Z,623.0,21,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),English,English
25014991071,APPROVED,2024-02-16T16:09:51.641000Z,1085.0,22,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Afrikaans,English
97279980930,APPROVED,2024-02-16T14:19:26.880000Z,1782.0,26,Man (including Trans Male/Trans Man),Technical/community college,English,English
15876336958,APPROVED,2024-02-16T18:44:34.588000Z,279.0,21,Man (including Trans Male/Trans Man),High school diploma/A-levels,Polish,"English, Polish"
24245252934,APPROVED,2024-02-16T14:53:07.446000Z,1029.0,32,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Other,English
169183309114,APPROVED,2024-02-17T05:24:31.974000Z,428.0,20,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Spanish,"English, Spanish"
124353470888,APPROVED,2024-02-17T05:29:42.745000Z,462.0,32,Woman (including Trans Female/Trans Woman),Technical/community college,English,"Afrikaans, English"
4780933211,APPROVED,2024-02-16T16:24:42.808000Z,492.0,26,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
200038799659,APPROVED,2024-02-16T19:16:20.366000Z,934.0,33,Man (including Trans Male/Trans Man),High school diploma/A-levels,English,English
199509489494,APPROVED,2024-02-16T14:48:35.261000Z,2333.0,67,Woman (including Trans Female/Trans Woman),Technical/community college,Dutch,"Dutch, English, German, Spanish, Portuguese"
59759184557,APPROVED,2024-02-16T15:54:33.251000Z,1193.0,28,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,"English, Other"
157173118595,APPROVED,2024-02-16T13:36:52.061000Z,1036.0,25,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
48983438511,APPROVED,2024-02-16T18:45:46.060000Z,1489.0,29,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
25609340490,AWAITING REVIEW,2024-02-17T07:00:28.705000Z,369.0,31,Man (including Trans Male/Trans Man),Technical/community college,English,"Afrikaans, English"
145483657916,APPROVED,2024-02-16T15:59:09.556000Z,780.0,24,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,English,English
124795218319,AWAITING REVIEW,2024-02-17T07:05:43.490000Z,626.0,28,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,English
136080170285,APPROVED,2024-02-16T13:58:43.524000Z,536.0,27,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,English
134083223367,APPROVED,2024-02-16T14:25:17.020000Z,786.0,23,Man (including Trans Male/Trans Man),Technical/community college,Hungarian,"English, Hungarian"
27220793753,APPROVED,2024-02-16T15:51:02.524000Z,1462.0,22,Non-binary (would like to give more detail),Undergraduate degree (BA/BSc/other),Portuguese,"English, Portuguese"
28631157925,APPROVED,2024-02-17T05:53:04.457000Z,768.0,50,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,"Afrikaans, English"
146041936453,APPROVED,2024-02-16T13:27:37.517000Z,566.0,23,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,"Afrikaans, English"
123335884820,APPROVED,2024-02-16T16:23:06.225000Z,419.0,22,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portuguese,"English, Portuguese"
30300910058,APPROVED,2024-02-16T15:33:40.887000Z,574.0,25,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portuguese,"English, Portuguese"
144689664511,APPROVED,2024-02-16T15:29:36.891000Z,299.0,25,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Hungarian,"Slovak, Hungarian, English"
16520773870,APPROVED,2024-02-16T13:51:27.306000Z,1932.0,25,Man (including Trans Male/Trans Man),Technical/community college,English,"Rather not say, English"
188295410195,AWAITING REVIEW,2024-02-17T07:12:08.395000Z,610.0,28,Non-binary (would like to give more detail),Undergraduate degree (BA/BSc/other),English,"Afrikaans, English, Twi"
181817246819,APPROVED,2024-02-16T18:46:30.743000Z,382.0,24,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Polish,"Belarusian, English, French, Italian, German, Polish, Spanish, Ukrainian, Russian"
135033103518,APPROVED,2024-02-16T14:21:55.053000Z,486.0,22,Non-binary (would like to give more detail),High school diploma/A-levels,Polish,"English, Polish"
38308379467,APPROVED,2024-02-16T18:40:35.064000Z,1270.0,25,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
144259767630,APPROVED,2024-02-16T19:14:09.790000Z,803.0,35,Woman (including Trans Female/Trans Woman),Doctorate degree (PhD/other),Greek,"English, Greek"
114072847093,APPROVED,2024-02-16T18:53:10.274000Z,798.0,23,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),English,English
120328881642,AWAITING REVIEW,2024-02-17T07:08:01.944000Z,718.0,56,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Afrikaans,"Afrikaans, English"
125235937353,APPROVED,2024-02-17T05:39:52.994000Z,833.0,28,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
78613359629,APPROVED,2024-02-16T13:49:06.018000Z,743.0,23,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
32688641464,APPROVED,2024-02-16T16:20:00.309000Z,418.0,36,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,"English, Italian, Russian"
59390868820,APPROVED,2024-02-16T16:34:58.551000Z,362.0,20,Man (including Trans Male/Trans Man),High school diploma/A-levels,Polish,"Polish, English"
153387291931,APPROVED,2024-02-16T13:30:21.566000Z,763.0,28,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),English,English
13701547420,APPROVED,2024-02-16T13:53:33.456000Z,1004.0,31,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,"English, Portuguese"
988423215,AWAITING REVIEW,2024-02-17T07:11:42.177000Z,987.0,41,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
39798312514,APPROVED,2024-02-16T19:10:21.249000Z,568.0,25,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Spanish,"English, Spanish"
155295006814,APPROVED,2024-02-16T14:28:38.101000Z,1114.0,24,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
207907090835,APPROVED,2024-02-16T16:49:52.880000Z,365.0,26,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portuguese,"English, Portuguese"
32358710315,APPROVED,2024-02-16T17:00:29.181000Z,1024.0,30,Woman (including Trans Female/Trans Woman),Doctorate degree (PhD/other),English,English
208473991322,APPROVED,2024-02-16T16:09:36.210000Z,1342.0,24,Woman (including Trans Female/Trans Woman),Technical/community college,English,English
160513159177,APPROVED,2024-02-16T14:40:01.574000Z,444.0,32,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),English,English
33659439976,APPROVED,2024-02-16T15:56:47.108000Z,637.0,31,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,English
67027195182,APPROVED,2024-02-16T14:22:10.284000Z,746.0,27,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,"Afrikaans, English"
71734711391,APPROVED,2024-02-16T17:57:31.660000Z,552.0,21,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portuguese,"English, Portuguese"
148499453668,AWAITING REVIEW,2024-02-17T07:14:57.955000Z,1281.0,27,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
31023825758,APPROVED,2024-02-16T17:02:44.544000Z,1083.0,27,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
63144967993,APPROVED,2024-02-17T05:40:28.066000Z,1179.0,26,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,English,English
98171914581,APPROVED,2024-02-16T15:26:56.654000Z,299.0,26,Man (including Trans Male/Trans Man),Doctorate degree (PhD/other),Portuguese,"Portuguese, English, Spanish"
87202744418,APPROVED,2024-02-16T18:31:30.297000Z,714.0,23,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
107095947024,APPROVED,2024-02-16T16:27:17.103000Z,858.0,43,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
199845183597,APPROVED,2024-02-16T15:24:50.476000Z,1203.0,24,Rather not say,Undergraduate degree (BA/BSc/other),English,"English, Afrikaans"
125800684939,APPROVED,2024-02-16T19:03:09.316000Z,1335.0,23,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,"English, Afrikaans"
90196555132,APPROVED,2024-02-16T16:00:58.718000Z,891.0,26,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
193691347363,APPROVED,2024-02-16T14:51:49.591000Z,2192.0,24,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
191244691191,APPROVED,2024-02-16T15:31:55.290000Z,539.0,21,Woman (including Trans Female/Trans Woman),Secondary education (e.g. GED/GCSE),Portuguese,"English, Portuguese"
20465750229,APPROVED,2024-02-16T18:29:11.721000Z,590.0,34,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,"English, Afrikaans"
204764575981,APPROVED,2024-02-16T14:46:59.521000Z,975.0,21,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Polish,"English, Polish, Russian"
143106566311,APPROVED,2024-02-16T13:45:36.322000Z,530.0,28,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,English
140405745361,APPROVED,2024-02-16T18:02:04.824000Z,943.0,28,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
35998095590,APPROVED,2024-02-17T05:31:58.438000Z,779.0,26,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Spanish,"English, Spanish"
191141213120,APPROVED,2024-02-16T18:24:33.137000Z,298.0,27,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spanish,"English, Spanish"
87628025421,APPROVED,2024-02-16T15:48:34.709000Z,804.0,27,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Spanish,"English, Spanish"
59793015750,APPROVED,2024-02-16T15:31:45.313000Z,588.0,30,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Spanish,"Spanish, English"
45250385918,APPROVED,2024-02-16T16:43:58.078000Z,1704.0,25,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Spanish,"Spanish, English"
171509967082,APPROVED,2024-02-16T18:55:56.375000Z,685.0,41,Non-binary (would like to give more detail),Undergraduate degree (BA/BSc/other),Spanish,"English, Spanish"
90315951167,APPROVED,2024-02-16T16:51:41.353000Z,686.0,23,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
20543965312,APPROVED,2024-02-16T19:00:44.515000Z,1193.0,24,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spanish,"English, Spanish"
137337159497,APPROVED,2024-02-17T06:11:45.732000Z,1971.0,23,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Spanish,"Spanish, English"
203962334811,APPROVED,2024-02-16T14:40:31.509000Z,526.0,21,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,"Afrikaans, English"
91532247615,AWAITING REVIEW,2024-02-17T07:11:21.375000Z,956.0,29,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Afrikaans,English
124500683984,APPROVED,2024-02-16T18:31:55.552000Z,751.0,32,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spanish,"Spanish, English"
43427989958,APPROVED,2024-02-16T14:19:32.675000Z,593.0,33,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Bengali,"English, Bengali"
15539325936,APPROVED,2024-02-16T15:37:28.731000Z,817.0,22,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,English,English
196348720811,APPROVED,2024-02-16T13:31:14.899000Z,682.0,31,Man (including Trans Male/Trans Man),Technical/community college,Other,English
14565639881,APPROVED,2024-02-16T16:28:04.227000Z,612.0,33,Non-binary (would like to give more detail),Undergraduate degree (BA/BSc/other),Spanish,"Spanish, English"
109058901982,APPROVED,2024-02-16T14:23:24.696000Z,758.0,29,Man (including Trans Male/Trans Man),Technical/community college,English,English
17091764176,APPROVED,2024-02-16T16:34:26.387000Z,909.0,33,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
6575814896,APPROVED,2024-02-16T13:41:01.600000Z,1405.0,36,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),English,"English, Afrikaans"
34555173347,APPROVED,2024-02-17T05:54:01.808000Z,872.0,27,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,English,English
144732900013,AWAITING REVIEW,2024-02-17T07:07:12.295000Z,658.0,33,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
134820588888,APPROVED,2024-02-17T05:32:34.402000Z,673.0,42,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Spanish,"Spanish, English"
127769840486,APPROVED,2024-02-16T13:33:47.303000Z,867.0,27,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
204928484399,APPROVED,2024-02-16T19:16:23.218000Z,710.0,57,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Afrikaans,"Afrikaans, English"
60291439369,APPROVED,2024-02-16T14:42:19.687000Z,689.0,25,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
73334721993,APPROVED,2024-02-16T15:32:32.235000Z,620.0,30,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Hungarian,"Hungarian, English"
192946524451,APPROVED,2024-02-16T18:01:38.841000Z,819.0,32,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),English,English
144883919265,APPROVED,2024-02-16T15:37:11.233000Z,852.0,23,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
110800044289,APPROVED,2024-02-17T05:32:49.817000Z,892.0,61,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portuguese,"English, Portuguese, Spanish"
154883245279,APPROVED,2024-02-16T17:58:23.733000Z,644.0,42,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Hungarian,"English, Hungarian"
57062205496,APPROVED,2024-02-16T13:52:46.200000Z,2105.0,24,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
141302130295,APPROVED,2024-02-16T18:30:13.075000Z,2521.0,24,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
10836632226,APPROVED,2024-02-17T05:28:31.669000Z,644.0,28,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Spanish,"English, Spanish"
4637348991,APPROVED,2024-02-16T14:06:55.487000Z,1029.0,25,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,"Afrikaans, English"
17514926934,APPROVED,2024-02-16T14:46:36.505000Z,946.0,40,Man (including Trans Male/Trans Man),High school diploma/A-levels,English,English
188845508049,APPROVED,2024-02-16T15:59:00.366000Z,769.0,24,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spanish,"English, Spanish"
85133408960,APPROVED,2024-02-16T15:05:31.550000Z,811.0,25,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,English
11674653034,AWAITING REVIEW,2024-02-17T07:11:43.622000Z,1097.0,30,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
206552141827,APPROVED,2024-02-16T15:38:12.837000Z,814.0,35,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,"Afrikaans, English"
65355954369,APPROVED,2024-02-17T05:32:02.564000Z,619.0,47,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
65925286529,APPROVED,2024-02-16T16:56:57.304000Z,819.0,30,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
174472844244,APPROVED,2024-02-16T15:43:49.402000Z,1139.0,35,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),English,"English, Other"
89542713736,APPROVED,2024-02-16T15:10:48.697000Z,546.0,30,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
90397660521,APPROVED,2024-02-16T18:47:38.044000Z,459.0,25,Man (including Trans Male/Trans Man),High school diploma/A-levels,English,English
53930081856,APPROVED,2024-02-16T15:28:50.800000Z,413.0,23,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
57495309464,APPROVED,2024-02-16T18:51:22.790000Z,672.0,23,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
18179147237,APPROVED,2024-02-16T14:48:54.367000Z,1047.0,53,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
203338288515,APPROVED,2024-02-16T15:35:26.605000Z,2120.0,44,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),English,"English, Spanish, German, French"
7451555318,APPROVED,2024-02-16T19:11:02.748000Z,623.0,26,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portuguese,"English, Portuguese"
123553336290,APPROVED,2024-02-16T14:57:43.225000Z,334.0,23,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,English,"French, Spanish, English, Gaelic"
104359939214,APPROVED,2024-02-16T19:21:25.478000Z,434.0,20,Rather not say,High school diploma/A-levels,English,English
143679467784,APPROVED,2024-02-16T15:54:24.447000Z,507.0,26,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
205532542079,APPROVED,2024-02-16T17:08:26.371000Z,1126.0,38,Man (including Trans Male/Trans Man),High school diploma/A-levels,English,English
75774254753,APPROVED,2024-02-16T16:30:38.913000Z,1061.0,34,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),English,English
3418434520,APPROVED,2024-02-16T15:20:38.968000Z,1712.0,36,Man (including Trans Male/Trans Man),High school diploma/A-levels,English,English
