PID,Understand,Layout,DataFeat,DataRead,Visualization
4746,6.333333333333333,7.0,6.0,6.0,Vis A
5190,5.666666666666667,6.0,6.0,5.666666666666667,Vis A
8904,6.0,6.0,6.0,6.0,Vis A
10260,7.0,4.0,4.5,6.0,Vis A
14134,4.333333333333333,3.6666666666666665,5.0,5.666666666666667,Vis A
13904,6.0,4.0,6.0,5.333333333333333,Vis A
17625,5.333333333333333,4.333333333333333,5.0,3.6666666666666665,Vis A
17901,7.0,5.0,7.0,6.666666666666667,Vis A
19663,5.666666666666667,3.6666666666666665,5.0,2.333333333333333,Vis A
19630,3.6666666666666665,2.0,3.5,5.333333333333333,Vis A
31995,7.0,7.0,7.0,7.0,Vis A
26964,6.0,3.333333333333333,2.5,5.0,Vis A
66056,7.0,5.0,7.0,7.0,Vis A
71448,5.666666666666667,3.6666666666666665,6.0,5.0,Vis A
115248,3.333333333333333,2.333333333333333,3.5,1.0,Vis A
124033,3.0,1.0,2.0,2.0,Vis A
129592,3.333333333333333,2.6666666666666665,2.5,2.6666666666666665,Vis A
136875,2.6666666666666665,2.6666666666666665,1.5,1.6666666666666667,Vis A
153408,3.333333333333333,1.6666666666666667,3.0,2.6666666666666665,Vis A
152966,3.6666666666666665,1.3333333333333333,5.0,3.0,Vis A
158496,6.0,2.333333333333333,6.0,4.666666666666667,Vis A
166500,3.333333333333333,6.0,2.5,5.0,Vis A
148458,4.0,3.0,4.5,4.0,Vis A
171375,5.0,6.0,6.0,5.666666666666667,Vis A
144900,4.333333333333333,3.333333333333333,6.0,2.6666666666666665,Vis A
139363,6.0,6.0,5.5,5.0,Vis A
157296,5.0,5.0,6.0,5.0,Vis A
185468,4.666666666666667,3.333333333333333,2.0,3.6666666666666665,Vis A
160130,2.0,5.333333333333333,6.0,4.0,Vis A
175200,3.0,2.333333333333333,2.5,3.333333333333333,Vis A
171717,6.0,6.0,6.0,6.0,Vis A
145383,4.666666666666667,4.333333333333333,5.0,5.0,Vis A
148048,7.0,5.666666666666667,7.0,7.0,Vis A
165432,2.333333333333333,2.333333333333333,4.5,4.666666666666667,Vis A
4746,5.666666666666667,6.0,5.5,5.333333333333333,Vis B
5190,2.6666666666666665,5.0,6.0,4.666666666666667,Vis B
8904,6.0,6.0,4.0,6.0,Vis B
10260,7.0,6.333333333333333,3.5,5.333333333333333,Vis B
14134,5.333333333333333,5.0,5.0,5.0,Vis B
13904,5.333333333333333,6.0,6.0,5.666666666666667,Vis B
17625,5.666666666666667,6.0,5.0,6.0,Vis B
17901,7.0,6.666666666666667,7.0,6.333333333333333,Vis B
19663,5.333333333333333,3.0,6.0,3.6666666666666665,Vis B
19630,5.666666666666667,6.0,6.0,5.333333333333333,Vis B
31995,7.0,6.333333333333333,7.0,7.0,Vis B
26964,5.666666666666667,5.0,3.0,5.0,Vis B
66056,7.0,6.0,7.0,7.0,Vis B
71448,6.333333333333333,6.333333333333333,6.0,6.0,Vis B
115248,4.0,6.666666666666667,5.0,6.0,Vis B
124033,4.333333333333333,2.0,3.0,2.6666666666666665,Vis B
129592,5.0,4.0,5.0,5.0,Vis B
136875,5.666666666666667,4.333333333333333,4.0,4.333333333333333,Vis B
153408,3.6666666666666665,3.6666666666666665,5.0,3.6666666666666665,Vis B
152966,6.0,4.666666666666667,6.0,5.666666666666667,Vis B
158496,6.0,5.0,7.0,5.0,Vis B
166500,5.666666666666667,6.333333333333333,4.0,5.666666666666667,Vis B
148458,5.0,2.333333333333333,5.5,3.0,Vis B
171375,6.0,6.0,3.0,6.0,Vis B
144900,6.0,7.0,6.0,5.666666666666667,Vis B
139363,7.0,7.0,7.0,6.0,Vis B
157296,7.0,7.0,7.0,7.0,Vis B
185468,5.333333333333333,3.0,4.5,4.666666666666667,Vis B
160130,4.333333333333333,6.0,6.5,4.666666666666667,Vis B
175200,5.333333333333333,6.0,5.5,6.0,Vis B
171717,6.0,2.0,2.0,2.333333333333333,Vis B
145383,2.0,2.0,2.0,2.0,Vis B
148048,6.0,6.333333333333333,7.0,7.0,Vis B
165432,7.0,6.0,6.5,6.0,Vis B
